iter	Passed	Remaining
0	115	115169
1	117	58414
2	118	39290
3	119	29770
4	120	24029
5	121	20194
6	123	17485
7	124	15435
8	125	13842
9	126	12557
10	128	11524
11	129	10665
12	130	9945
13	132	9318
14	134	8805
15	135	8332
16	137	7924
17	138	7560
18	140	7239
19	141	6938
20	143	6678
21	144	6435
22	146	6211
23	147	6008
24	148	5810
25	150	5624
26	151	5451
27	152	5292
28	153	5147
29	155	5022
30	156	4894
31	157	4775
32	159	4666
33	160	4561
34	161	4461
35	163	4367
36	164	4276
37	165	4191
38	166	4113
39	168	4035
40	169	3960
41	170	3891
42	171	3826
43	173	3765
44	174	3705
45	175	3646
46	177	3594
47	178	3543
48	179	3490
49	180	3437
50	182	3388
51	183	3343
52	185	3309
53	187	3276
54	188	3238
55	189	3200
56	191	3160
57	192	3122
58	193	3090
59	195	3057
60	196	3028
61	198	3003
62	200	2978
63	202	2961
64	203	2932
65	205	2907
66	206	2877
67	207	2849
68	209	2821
69	210	2796
70	211	2771
71	213	2748
72	215	2731
73	216	2708
74	217	2685
75	219	2663
76	220	2640
77	221	2622
78	223	2600
79	224	2577
80	225	2555
81	226	2536
82	227	2512
83	228	2494
84	230	2477
85	231	2458
86	232	2443
87	233	2423
88	234	2404
89	236	2387
90	237	2372
91	238	2355
92	239	2339
93	241	2323
94	242	2311
95	243	2297
96	245	2281
97	246	2265
98	247	2249
99	248	2234
100	249	2220
101	250	2205
102	251	2190
103	252	2176
104	253	2162
105	254	2148
106	256	2136
107	257	2126
108	258	2115
109	260	2104
110	261	2092
111	262	2080
112	263	2067
113	265	2061
114	267	2056
115	268	2047
116	269	2034
117	273	2041
118	274	2034
119	276	2024
120	277	2014
121	278	2002
122	279	1993
123	280	1982
124	281	1971
125	282	1961
126	283	1949
127	284	1940
128	287	1942
129	289	1935
130	290	1927
131	291	1919
132	293	1910
133	294	1901
134	295	1892
135	296	1884
136	297	1876
137	299	1868
138	300	1863
139	302	1855
140	303	1849
141	304	1840
